id,company,country,year,status,bio,hist,org,media,social,gov,link,text
181,Euronovate SA,Switzerland,,,,,,,,,,
182,Glory,Japan,,,,,,,,,,
183,Beijing Alleyes Technology,China,,,,,,,,,,
184,Cognitec Systems GmbH,Germany,,,,,,,,,,
185,PAPAGO Inc,"Taiwan, Province of China",,,,,,,,,,
186,Closeli Inc,China,,,,,,,,,,
187,AYF Technology,China,,,,,,,,,,
188,Suprema ID Inc,"Korea, Republic of",,,,,,,,,,
189,Serendipity Ltd,Uzbekistan,,,,,,,,,,
190,CloudSmart Consulting LLC,United States,,,,,,,,,,
191,UNICC-Solution Architecture Section,UN,,,,,,,,,,
192,BTS Digital,Kazakhstan,,,,,,,,,,
193,NotionTag Technologies Private Limited,India,,,,,,,,,,
194,Fujitsu Research and Development Center,China,,,,,,,,,,
195,Rendip,Singapore,,,,,,,,,,
196,ID3 Technology,France,,,,,,,,,,
197,Oz Forensics LLC,Russian Federation,,,,,,,,,,
198,Shanghai University - Shanghai Film Academy,China,,,,,,,,,,
199,AlphaSSTG,China,,,,,,,,,,
200,Imperial College London,United Kingdom,,,,,,,,,,
201,T4iSB,Brazil,,,,,,,,,,
202,AuthenMetric,China,,,,,,,,,,
203,LightVision Inc,"Korea, Republic of",,,,,,,,,,
204,Shenzhen Intellifusion Technologies,China,,,,,,,,,,
205,UZINFOCOM,Uzbekistan,,,,,,,,,,
206,Techsign,Türkiye,,,,,,,,,,
207,TigerIT Bangladesh Ltd,United States,,,,,,,,,,
208,Mobai,Norway,,,,,,,,,,
209,VinAI Research VietNam,Viet Nam,,,,,,,,,,
210,GTEL OTS JSC,Viet Nam,,,,,,,,,,
211,FaceSoft,United Kingdom,,,,,,,,,,
212,Cortica,Israel,,,,,,,,,,
213,ICM Airport Technics,Australia,,,,,,,,,,
214,Quantasoft,Czechia,,,,,,,,,,
215,X-Laboratory,China,,,,,,,,,,
216,Nanjing Kiwi Network Technology,China,,,,,,,,,,
217,Akurat Satu Indonesia,Indonesia,,,,,,,,,,
218,DICIO,Mexico,,,,,,,,,,
219,Mantra Softech India,India,,,,,,,,,,
220,Camvi Technologies,United States,,,,,,,,,,
221,Facia.ai,UK,,,,,,,,,,
222,Vixvizon,Australia,,,,,,,,,,
223,Anke Investments,China,,,,,,,,,,
224,Telexper International,"Taiwan, Province of China",,,,,,,,,,
225,Antheus Technologia,Brazil,,,,,,,,,,
226,iQIYI Inc,China,,,,,,,,,,
227,Shanghai Ulucu Electronics Technology,China,,,,,,,,,,
228,Yoti,UK,,,,,,,,,,
229,Beihang University-ERCACAT,China,,,,,,,,,,
230,Securif AI,Romania,,,,,,,,,,
231,CSA IntelliCloud Technology,China,,,,,,,,,,
232,Hikvision Research Institute,China,,,,,,,,,,
233,Taiwan Mobile,"Taiwan, Province of China",,,,,,,,,,
234,Bresee Technology,China,,,,,,,,,,
235,Digidata,India,,,,,,,,,,
236,Luxand Inc,United States,,,,,,,,,,
237,KuKe3D Technology,China,,,,,,,,,,
238,Trueface.ai,United States,,,,,,,,,,
239,Samtech InfoNet Limited,India,,,,,,,,,,
240,FaceTag Co,"Korea, Republic of",,,,,,,,,,
241,Mobipin Technology,"Korea, Republic of",,,,,,,,,,
242,Regula Forensics,United States,,,,,,,,,,
243,Institute of Information Technologies,Russian Federation,,,,,,,,,,
244,Kookmin University,"Korea, Republic of",,,,,,,,,,
245,FPT Education,Viet Nam,,,,,,,,,,
246,Trust Stamp,UK,,,,,,,,,,
247,Qaz Biometric Systems,Kazakhstan,,,,,,,,,,
248,Shenzhen EI Networks,China,,,,,,,,,,
249,NSENSE Corp,"Korea, Republic of",,,,,,,,,,
250,Ai First,Thailand,,,,,,,,,,
251,Videmo Intelligente Videoanalyse,Germany,,,,,,,,,,
252,Intellivision,United States,,,,,,,,,,
253,Netbridge Technology Incoporation,"Taiwan, Province of China",,,,,,,,,,
254,Aware,United States,,,,,,,,,,
255,Naver Corp,"Korea, Republic of",,,,,,,,,,
256,IrexAI,United States,,,,,,,,,,
257,Visidon,Finland,,,,,,,,,,
258,AiUnion Technology,"Taiwan, Province of China",,,,,,,,,,
259,Syscake S.r.l.,Italy,,,,,,,,,,
260,Lema Labs,India,,,,,,,,,,
261,ASUSTek Computer Inc,"Taiwan, Province of China",,,,,,,,,,
262,Pensees Pte,Singapore,,,,,,,,,,
263,BioID GmbH,Germany,,,,,,,,,,
264,Lomonosov Moscow State University,Russian Federation,,,,,,,,,,
265,Smarvist Teknoloji,Türkiye,,,,,,,,,,
266,Star Hybrid Limited,China,,,,,,,,,,
267,Staqu Technologies,India,,,,,,,,,,
268,iSAP Solution Corporation,"Taiwan, Province of China",,,,,,,,,,
269,InfoCert,Italy,,,,,,,,,,
270,TongYi Transportation Technology,China,,,,,,,,,,
271,Tencent Deepsea Lab,China,,,,,,,,,,
272,Rokid Corporation,China,,,,,,,,,,
273,Universidade de Coimbra,Portugal,,,,,,,,,,
274,Fraud.com,UK,,,,,,,,,,
275,Alivia / Innovation Sys,Russian Federation,,,,,,,,,,
276,ITMO University,Russian Federation,,,,,,,,,,
277,Beyne.AI,Kazakhstan,,,,,,,,,,
278,Aximetria,Switzerland,,,,,,,,,,
279,Bee the Data,Spain,,,,,,,,,,
280,Deepsense,France,,,,,,,,,,
281,Ajou University,"Korea, Republic of",,,,,,,,,,
282,One More Security,"Korea, Republic of",,,,,,,,,,
283,Vietnam National Cyber Security Technology Corporation,Viet Nam,,,,,,,,,,
284,AI Implementation Group,Uzbekistan,,,,,,,,,,
285,Acer Incorporated,"Taiwan, Province of China",,,,,,,,,,
286,Kloudspot Inc,United States,,,,,,,,,,
287,ULSee Inc,China,,,,,,,,,,
288,Synology Inc,"Taiwan, Province of China",,,,,,,,,,
289,Onfido,UK,,,,,,,,,,
290,Vigilant Solutions,United States,,,,,,,,,,
291,IVA Cognitive,Russian Federation,,,,,,,,,,
292,MVision,Russian Federation,,,,,,,,,,
293,Fast Enterprises,United States,,,,,,,,,,
294,GPS Vietnam Trading,Viet Nam,,,,,,,,,,
295,Synesis,Russian Federation,,,,,,,,,,
296,Maverick Research,United Arab Emirates,,,,,,,,,,
297,Innef Labs,India,,,,,,,,,,
298,Kakao Pay Corp,"Korea, Republic of",,,,,,,,,,
299,Aigen,Thailand,,,,,,,,,,
300,Tinkoff Bank,Russian Federation,,,,,,,,,,
301,UXLabs,"Taiwan, Province of China",,,,,,,,,,
302,Saffe,Germany,,,,,,,,,,
303,Herta Security,Spain,,,,,,,,,,
304,Scanovate,Israel,,,,,,,,,,
305,Shenzhen Inst Adv Integrated Tech CAS,China,,,,,,,,,,
306,Institute of Computing Technology,China,,,,,,,,,,
307,China University of Petroleum,China,,,,,,,,,,
308,FarBar Inc,"Taiwan, Province of China",,,,,,,,,,
309,Xiamen Meiya Pico Information,China,,,,,,,,,,
310,Enqura Ltd,United Kingdom,,,,,,,,,,
311,Wuhan Tianyu Information Industry,China,,,,,,,,,,
312,PT Qlue Performa Indonesia,Indonesia,,,,,,,,,,
313,Taiwan AI Labs,"Taiwan, Province of China",,,,,,,,,,
314,TAHAKOM,Saudi Arabia,,,,,,,,,,
315,FPT Information System,Viet Nam,,,,,,,,,,
316,Tripleize,Japan,,,,,,,,,,
317,AllGoVision,India,,,,,,,,,,
318,Intelligent Control Technology Co Ltd - IGearx,China,,,,,,,,,,
319,BOE Technology Group,China,,,,,,,,,,
320,PT Autentika Digital Indonesia,Indonesia,,,,,,,,,,
321,Kneron Inc,United States,,,,,,,,,,
322,Kedacom International Pte,Singapore,,,,,,,,,,
323,Lookman Electroplast Industries,India,,,,,,,,,,
324,NEO Systems,Canada,,,,,,,,,,
325,Decatur Industries Inc,United States,,,,,,,,,,
326,Chosun University,"Korea, Republic of",,,,,,,,,,
327,Ability Enterprise - Andro Video,"Taiwan, Province of China",,,,,,,,,,
328,Veridium,UK,,,,,,,,,,
329,General Interface Solutions Holding Ltd,"Taiwan, Province of China",,,,,,,,,,
330,Innovative Technology,United Kingdom,,,,,,,,,,
331,Fincore Ltd,UK,,,,,,,,,,
332,Nodeflux,Indonesia,,,,,,,,,,
333,Taiwan Computer Vision,"Taiwan, Province of China",,,,,,,,,,
334,Beijing Vion Technology Inc,China,,,,,,,,,,
335,Swsam Solutions,UK,,,,,,,,,,
336,Fourthline,Netherlands,,,,,,,,,,
337,Expasoft LLC,Russian Federation,,,,,,,,,,
338,20Face,Netherlands,,,,,,,,,,
339,MicroFocus,United Kingdom,,,,,,,,,,
340,Verijelas,Indonesia,,,,,,,,,,
341,Saga Densan Center Co Ltd,Japan,,,,,,,,,,
342,Smilart,Germany,,,,,,,,,,
343,PXL Vision AG,Switzerland,,,,,,,,,,
344,FaceLocate,Canada,,,,,,,,,,
345,Digital Barriers,United Kingdom,,,,,,,,,,
346,TNG Digital Sdn Bhd,Malaysia,,,,,,,,,,
347,PT Technology Biometric Indonesia,Indonesia,,,,,,,,,,
348,Codeline,"Korea, Republic of",,,,,,,,,,
349,Krungthai,Thailand,,,,,,,,,,
350,Vsoft,Brazil,,,,,,,,,,
351,PNPSecure,"Korea, Republic of",,,,,,,,,,
352,MoreDian Technology,China,,,,,,,,,,
353,Visage Technologies,Sweden,,,,,,,,,,
354,Code Everest Pvt,India,,,,,,,,,,
355,Graymatics,United States,,,,,,,,,,
356,ACI Software,Thailand,,,,,,,,,,
357,Ekin Smart City Technologies,Türkiye,,,,,,,,,,
358,Celloscope Limited,Bangladesh,,,,,,,,,,
359,Affinsys AI Ltd,United Arab Emirates,,,,,,,,,,
360,Wise AI SDN BHD,Malaysia,,,,,,,,,,
361,Awidit Systems,India,,,,,,,,,,
362,Zhuhai Yisheng Electronics Technology,China,,,,,,,,,,
363,Neosecu Co,"Korea, Republic of",,,,,,,,,,
364,Innov8tif Solutions,Malaysia,,,,,,,,,,
365,DeCloak Intellegences,"Taiwan, Province of China",,,,,,,,,,
366,Satellite Innovation/Eocortex,Russian Federation,,,,,,,,,,
367,Vcortex Labs,United States,,,,,,,,,,
368,TuringTech.vip,China,,,,,,,,,,
369,Biocube Matrics,India,,,,,,,,,,
370,Seamfix,Nigeria,,,,,,,,,,
371,Visica AI Solutions,Brazil,,,,,,,,,,
372,DSK,China,,,,,,,,,,
373,TUPU Technology,China,,,,,,,,,,
374,Cloudmatrix,"Taiwan, Province of China",,,,,,,,,,
375,Shaman Software,United States,,,,,,,,,,
376,VNIS Joint Stock,Viet Nam,,,,,,,,,,
377,Ayonix,Japan,,,,,,,,,,
378,City and County of Honolulu,United States,,,,,,,,,,
379,Hyderabad-Centre for Development of Advanced Computing,India,,,,,,,,,,
380,Innominds Software SEZ India Pvt,India,,,,,,,,,,
381,IQSEC,Mexico,,,,,,,,,,
382,Videonetics Technology Pvt,India,,,,,,,,,,
383,Amplified Group,United Kingdom,,,,,,,,,,
384,Vocalize,United States,,,,,,,,,,
385,BitCenter UK,UK,,,,,,,,,,
386,Ovision,United Arab Emirates,,,,,,,,,,
387,FOO,Lebanon,,,,,,,,,,
388,Imageware Systems,United States,,,,,,,,,,
389,Alfabeta,Indonesia,,,,,,,,,,
390,Smartbiometrik,Spain,,,,,,,,,,
391,IE SARSENOV,Kazakhstan,,,,,,,,,,
392,Jaak IT,Mexico,,,,,,,,,,
393,2060.io,Estonia,,,,,,,,,,
394,Bitmain,China,,,,,,,,,,
395,Lebentech Biometrics,Mexico,,,,,,,,,,
396,Sukshi Technology Innovation,India,,,,,,,,,,
397,Smart Engines,Russian Federation,,,,,,,,,,
398,Vivotek,"Taiwan, Province of China",,,,,,,,,,
399,Intozi Tech Pvt Ltd,India,,,,,,,,,,
400,ArVİs Teknoloji San.Tic.A.Ş.,Türkiye,,,,,,,,,,
401,CUDO Communication,"Korea, Republic of",,,,,,,,,,
402,Facehawk Ltd,UK,,,,,,,,,,
403,Is It You,Israel,,,,,,,,,,
404,Matrix Comsec Pvt Ltd,Indonesia,,,,,,,,,,
